tag,engine,file,text,audio_s,proc_s,rtf
clean,whisper,con_001.wav,他让你在那个时间段里拥有了自己,3.77,1.22,0.323
clean,whisper,con_002.wav,哪怕这个自己是一个刷抖音的自己,2.92,0.65,0.223
clean,whisper,con_003.wav,我方这里再稍微解释一下,1.90,0.61,0.320
clean,whisper,con_004.wav,其实部落分也是一种要,1.90,0.59,0.309
clean,whisper,con_005.wav,觉得晚睡晚起是熬夜,2.15,0.59,0.275
clean,whisper,con_006.wav,晚睡早起也算熬夜了,2.15,0.55,0.257
clean,whisper,con_007.wav,因为你可以早睡早起,1.56,0.51,0.325
clean,whisper,con_008.wav,因为你可以为了身体健康,1.64,0.57,0.348
clean,whisper,con_009.wav,早睡晚睡,1.39,0.49,0.351
clean,whisper,con_010.wav,不太一致我可以给你解释,2.41,0.65,0.272
clean,whisper,con_011.wav,你没有多两个小时但是你自己的时间多了两个我可以给你解释,3.60,0.86,0.237
clean,whisper,pro_001.wav,米方是药那它是怎么缓解我们的空虚的,3.09,0.74,0.240
clean,whisper,pro_002.wav,没问题没问题先不着急,1.30,0.55,0.424
clean,whisper,pro_003.wav,因为有一个前提性的问题没有讨论,2.58,0.62,0.240
clean,whisper,pro_004.wav,其实在讲的熬夜所谓的熬夜就是晚睡晚起是吧,4.46,0.84,0.187
clean,whisper,pro_005.wav,好 我先聊玩具,2.32,0.51,0.221
clean,whisper,pro_006.wav,既然你是晚睡晚起的,2.07,0.54,0.263
clean,whisper,pro_007.wav,你上班的时间必定也晚,2.58,0.55,0.211
clean,whisper,pro_008.wav,你下班的时间必定也晚,2.58,0.60,0.231
clean,whisper,pro_009.wav,那你个人的生活空间必定也就这么点,3.26,0.67,0.204
clean,whisper,pro_010.wav,你是怎么多出额外的时间来过自己的生活的,3.01,0.69,0.228
clean,whisper,pro_011.wav,我的意思是两点睡十点起,3.01,0.55,0.183
clean,whisper,pro_012.wav,跟八点睡六点起,2.07,0.52,0.250
clean,whisper,pro_013.wav,我的个人是可以支配的,2.07,0.53,0.256
clean,whisper,pro_014.wav,日常时间是一致的没错吧,1.73,0.62,0.360
clean,whisper,pro_015.wav,我多了两个小时,1.21,0.50,0.414
clean,funasr,con_001.wav,哦，他让你在那个时间段里拥有了自己。,3.77,1.89,0.501
clean,funasr,con_002.wav,哪怕这个自己是一个刷抖音的自己。,2.92,0.35,0.119
clean,funasr,con_003.wav,哦，我方这里再稍微解释一下他。,1.90,0.28,0.146
clean,funasr,con_004.wav,其实布洛芬也是一种药。,1.90,0.27,0.143
clean,funasr,con_005.wav,光觉得晚睡晚起也是熬夜。,2.15,0.28,0.129
clean,funasr,con_006.wav,晚睡早起也是熬夜了。,2.15,0.24,0.113
clean,funasr,con_007.wav,因为你可以早睡早起。,1.56,0.28,0.180
clean,funasr,con_008.wav,因为你可以为了身体健康。,1.64,0.22,0.133
clean,funasr,con_009.wav,两点，睡。,1.39,0.28,0.200
clean,funasr,con_010.wav,哦，不太一致，我可以给你解。,2.41,0.22,0.092
clean,funasr,con_011.wav,你没有多两个小时，但是你自己的时间多多，我可以给你解释。,3.60,0.32,0.088
clean,funasr,pro_001.wav,你方是要那他是怎么缓解我们的空虚的？,3.09,0.29,0.092
clean,funasr,pro_002.wav,没问题，没问题，先不着急。,1.30,0.20,0.150
clean,funasr,pro_003.wav,因为有一个前提性的问题没有讨论。,2.58,0.28,0.110
clean,funasr,pro_004.wav,其实在讲的熬夜，所谓的熬夜就是晚睡晚起，是吧？,4.46,0.29,0.065
clean,funasr,pro_005.wav,好，我先聊晚都帅晚起。,2.32,0.24,0.103
clean,funasr,pro_006.wav,嗯，既然你是晚睡晚。,2.07,0.28,0.136
clean,funasr,pro_007.wav,你上班的时间必定也晚。,2.58,0.25,0.096
clean,funasr,pro_008.wav,你下班的时间必定也晚。,2.58,0.27,0.105
clean,funasr,pro_009.wav,那你个人的生活空间必定也就这么点。,3.26,0.26,0.081
clean,funasr,pro_010.wav,你是怎么多出额外的时间来过自己的生活的呢？,3.01,0.27,0.089
clean,funasr,pro_011.wav,我的意思是两点睡十呃，十点起。,3.01,0.31,0.102
clean,funasr,pro_012.wav,跟八点睡六点起舞。,2.07,0.26,0.123
clean,funasr,pro_013.wav,我的个人是可以支配的。,2.07,0.21,0.102
