tag,engine,file,text,audio_s,proc_s,rtf
L1,whisper,babble_0dB/heavy/s0.wav,有不太一致的我认为哪怕是发自人尤其是身体健康就不能晚睡晚起所以它让我们在大阪实现了经济工业化我正在讲熬夜的一个熬夜就是晚睡晚起,17.10,6.17,0.361
L1,whisper,babble_0dB/heavy/s1.wav,,17.43,27.79,1.594
L1,whisper,babble_0dB/heavy/s2.wav,明镜需要您的支持 欢迎订阅明镜,15.09,1.51,0.100
L1,whisper,babble_0dB/heavy/s3.wav,那已經被我身體誤解了不太牽制你還是玩你玩你玩你玩你玩你玩你玩你玩你玩你玩你玩你玩你玩,15.75,29.88,1.897
L1,whisper,babble_0dB/heavy/s4.wav,中文字幕志愿者 李宗盛,13.74,21.40,1.558
L1,whisper,babble_0dB/light/s0.wav,请不吝点赞 订阅 转发 打赏支持明镜与点点栏目,23.55,1.98,0.084
L1,whisper,babble_0dB/light/s1.wav,睡早起也算别人的事因为你可以少睡一会儿他让你睡在那个时间段你当时要他 他是怎么回答的他以为为了身体健康因为你可能听不着上班的时间比你远晚我们个人可以支配得了这长时间是一致的没错吧正在讲的熬夜作为熬夜就是晚睡晚起 是吧,22.94,6.47,0.282
L1,whisper,babble_0dB/light/s2.wav,其实不过分一天要睡早起也算不厌因为你可以早睡早起我帮你再稍微解释一下哪怕觉得不容易 发抖的上班的时间不太晚我给你们说一下10点几分钟比方是要那它是怎么关节我们就不知道下班的时间也晚,20.72,5.52,0.266
L1,whisper,babble_0dB/light/s3.wav,因为你可以为了身体健康因为你身体不太健康我可以给你一个保证所以你怎么记没关系我只知道晚睡晚起少了今天是晚睡晚起你发作一个人的生活目标你自己就这么决定你是怎么决定我卖你的时间来管你自己我决定跟8点睡6点决定你方式要变得他是怎么管你自己的你怎么决定,21.39,7.78,0.364
L1,whisper,babble_0dB/light/s4.wav,不太一致他让自己在那个时间段因为你可以早睡因为你可以为了身体晚睡晚起个人的生活空间就这么点下班的时间千日晚日晚起,19.24,3.74,0.194
L1,whisper,clean/heavy/s0.wav,哦不太一致我可以给你解释我的个人可以吃饭的你方是药人那他是什么环境你方觉得晚睡晚起好我先聊晚睡晚起他让你在那个时间段拥有自己其实在讲呢熬夜所谓的熬夜就是晚睡晚起是吧,17.10,5.97,0.349
L1,whisper,clean/heavy/s1.wav,晚睡早起也是熬夜了你方是要那他是怎么还因为你可以早睡早起没问题没问题先不着急上班的时间必定也晚我的个人我的日常时间是一致的没错吧其实在讲的熬夜所谓的熬夜就是晚睡晚起是吧,17.43,5.60,0.321
L1,whisper,clean/heavy/s2.wav,其实部落分也是一种药晚睡早起也算熬夜了因为你可以早睡早起我方这里再稍微几个哪怕这个自己一个刷抖一个你方是药那它是怎么缓解我们的空气导弹你下班的时间必定也晚,15.09,5.05,0.335
L1,whisper,clean/heavy/s3.wav,因为你可以为了身体健康既然你是晚睡晚起个人没有生活空间自己也就这么临你是怎么多出额外的时间来过自己的时间跟八点睡六点起你方是药那它是怎么缓解我们的空虚的,15.75,4.99,0.317
L1,whisper,clean/heavy/s4.wav,不太一致我可以给你解释既然你是晚睡晚起,13.74,1.89,0.137
L1,whisper,clean/light/s0.wav,不太一致我可以给你解释哪怕这个自己是一个刷抖音的自己因为你可以为了身体健康你会觉得晚睡晚起也是熬夜个人可以支配的比方是药那它是怎么缓解我们的空虚的好 我先聊晚睡晚起你下班的时间必定也晚其实在讲的熬夜所谓的熬夜就是晚睡晚起是吧,23.55,6.86,0.291
L1,whisper,clean/light/s1.wav,晚睡早起也是熬夜了我往这里再稍微解释一下因为你可以早睡早起它让你在那个时间段比方是药那它是怎么缓解我的空气没问题没问题先不着急你上班的时间必定也晚我的个人可以支配的日常时间是一致的没错吧其实在讲呢熬夜所谓的熬夜就是晚睡晚起是吧,22.94,7.03,0.306
L1,whisper,clean/light/s2.wav,其实部落分也是一种药晚睡早起也是熬夜了因为你可以早睡早起我往这里再稍微解释一下哪怕这个自己是一个刷抖音的自己你上班的时间必定也晚我两点睡十点起你方是药那它是怎么缓解我们的空虚的你下班的时间必定也晚,20.72,6.71,0.324
L1,whisper,clean/light/s3.wav,因为你可以为了身体健康不太一致我可以给你解释晚睡早起也是熬夜你方觉得晚睡晚起也是熬夜既然你是晚睡晚起你个人的生活空间必定也就这么点你是怎么多出额外的时间来过自己的生活的跟八点睡六点起你方是要那它是怎么缓解我们的空虚的,21.39,6.85,0.320
L1,whisper,clean/light/s4.wav,哦不太一致我可以给你解释哦他让你在那个时间段里拥有了自己因为你可以早睡早起因为你可以为了身体健康就觉得晚睡晚起早夜那你个人的生活空间必定也就这么点你下班的时间必定也晚既然你是晚睡晚起,19.24,5.49,0.285
L1,whisper,white_0dB/heavy/s0.wav,不太一致我可以给你解释我可以给你解释你忙心跳我可以给你解释好 我先聊晚睡晚起下半段就讲到中夜晚就在讲着熬夜所谓的熬夜就是晚睡晚起是吧,17.10,4.97,0.290
L1,whisper,white_0dB/heavy/s1.wav,晚睡早起也能熬夜我刚刚是一样因为你可以早睡没问题你先不着急上班那边别晚我们客人我们客人都要待这一长时间一直等着做吧就在讲着熬夜所谓的熬夜就是晚睡晚起是吧,17.43,5.46,0.313
L1,whisper,white_0dB/heavy/s2.wav,嗯 没问题没问题上班的时间 请你别晚了两点对八点你忙是要 但它是报款我不可以迷途下班的时间 请你别晚了,15.09,3.73,0.247
L1,whisper,white_0dB/heavy/s3.wav,所以你可以为了身体健康我们确认哦 不太确认既然你是晚睡晚饮哦 个人没有什么我觉得晚睡晚饮是什么呢额外的时间来控制发动跟8点睡6点比方需要那它就是保存完结我们不知道,15.75,5.44,0.346
L1,whisper,white_0dB/heavy/s4.wav,哦 不太一致我可以给你解释一下它是药 但它是一种环境它是拥有的那因为你个人的生活风险那你可以为了身体健康我们应该不觉得晚睡晚醒既然你是晚睡晚醒,13.74,4.84,0.352
L1,whisper,white_0dB/light/s0.wav,"不太一致,我可以用几个词,哪怕这个词是一个刷嘴的词,因为你可以为了身体健康,你都觉得晚睡晚起是熬夜,我可以支配的比方是药,那它是怎么关节我们的空气的,好,我先聊晚睡晚起,下班的时间一定也晚,现在讲的熬夜所谓的熬夜就是晚睡晚起,是吧?",23.55,6.01,0.255
L1,whisper,white_0dB/light/s1.wav,晚睡早起也是熬夜的我帮你再稍微解释一下因为你可以早睡早起它让你在那个时间换你帮我解释一下那它是怎么换的你可以为了身体健康去你上班的时间毕竟也晚我的个人可以支配的这段日常时间是一致的没错吧熬夜所谓的熬夜就是晚睡晚起,22.94,6.40,0.279
L1,whisper,white_0dB/light/s2.wav,不过我分一句晚睡早起也行因为你可以早睡早起我方认识你再稍微解释一下哪怕这个自己是一个发抖的一个人上班的时间一定也晚我这个自己是两点睡十点起你方是要那他是怎么缓解我们的空气导致下班的时间一定也晚,20.72,5.86,0.283
L1,whisper,white_0dB/light/s3.wav,因为你可以为了身体健康我的意志不太一致我可以给你解释晚睡早起也早夜我觉得晚睡晚起早夜既然你是晚睡晚起发动个人的生活空间毕竟已经就这么久你是怎么多出额外的时间来做自己的事跟八点睡六点起比方是药那它是怎么环节我们的空气的,21.39,6.45,0.301
L1,whisper,white_0dB/light/s4.wav,不太一致我可以给你解释它让你在那个时间段拥有因为你可以早睡早睡因为你可以为了身体健康让他觉得晚睡晚醒个人的生活空间毕竟也就这么远下半段时间毕竟也晚既然你是晚睡晚醒,19.24,5.36,0.279
L3,whisper,babble_0dB/heavy/s0_spk1.wav,请不吝点赞 订阅 转发 打赏支持明镜与点点栏目,17.10,2.58,0.151
L3,whisper,babble_0dB/heavy/s0_spk2.wav,中文字幕志愿者 杨茜茜,17.10,1.32,0.077
L3,whisper,babble_0dB/heavy/s1_spk1.wav,感谢观看,17.43,0.92,0.053
L3,whisper,babble_0dB/heavy/s1_spk2.wav,中文字幕志愿者 杨茜茜,17.43,1.30,0.075
L3,whisper,babble_0dB/heavy/s2_spk1.wav,请不吝点赞 订阅 转发 打赏支持明镜与点点栏目,15.09,2.06,0.137
L3,whisper,babble_0dB/heavy/s2_spk2.wav,优优独播剧场——YoYo Television Series Exclusive,15.09,1.41,0.093
L3,whisper,babble_0dB/heavy/s3_spk1.wav,中文字幕志愿者 杨茜茜,15.75,1.33,0.084
L3,whisper,babble_0dB/heavy/s3_spk2.wav,字幕志愿者 杨茜茜,15.75,1.33,0.084
L3,whisper,babble_0dB/heavy/s4_spk1.wav,中文字幕志愿者 杨茜茜,13.74,1.28,0.093
L3,whisper,babble_0dB/heavy/s4_spk2.wav,中文字幕提供,13.74,0.94,0.069
L3,whisper,babble_0dB/light/s0_spk1.wav,字幕志愿者 杨茜茜,23.55,1.24,0.053
L3,whisper,babble_0dB/light/s0_spk2.wav,中文字幕志愿者 杨茜茜,23.55,1.36,0.058
L3,whisper,babble_0dB/light/s1_spk1.wav,中文字幕提供,22.94,1.02,0.044
L3,whisper,babble_0dB/light/s1_spk2.wav,请不吝点赞订阅订阅,22.94,1.21,0.053
L3,whisper,babble_0dB/light/s2_spk1.wav,字幕志愿者 杨茜茜,20.72,1.16,0.056
L3,whisper,babble_0dB/light/s2_spk2.wav,字幕志愿者 杨茜茜,20.72,1.25,0.060
L3,whisper,babble_0dB/light/s3_spk1.wav,中文字幕提供,21.39,0.86,0.040
L3,whisper,babble_0dB/light/s3_spk2.wav,字幕志愿者 杨茜茜,21.39,1.29,0.060
L3,whisper,babble_0dB/light/s4_spk1.wav,字幕志愿者 杨茜茜,19.24,1.27,0.066
L3,whisper,babble_0dB/light/s4_spk2.wav,中文字幕志愿者 李宗盛,19.24,1.23,0.064
L3,whisper,clean/heavy/s0_spk1.wav,"哦,不太一致,我可以给你解释,我的个人是一个发表性的自己,你帮我试一下,那他在什么环境,我都不知道,我先不要晚睡晚起,他让你在下半段时间拥有自己,其实在讲的熬夜,所谓的熬夜就是晚睡晚起,是吧?",17.10,4.83,0.283
L3,whisper,clean/heavy/s0_spk2.wav,"哦,不太一致,我可以给你解释,哪怕这个字迹是发抖音的字迹,因为你可以为了身体健康,就不用觉得晚睡晚起,它让你在下班的时间,必须管自己。就在讲的熬夜,所谓的熬夜就是晚睡晚起,是吧?",17.10,4.92,0.288
L3,whisper,clean/heavy/s1_spk1.wav,晚睡早起也算熬夜了你忘了是要那他是怎么还的因为你可以早睡早起没问题没问题先不着急上班的时间毕竟也晚我的个人我的日常时间是一致的没错吧就在讲的熬夜所谓的熬夜就是晚睡晚起是吧,17.43,5.94,0.341
L3,whisper,clean/heavy/s1_spk2.wav,晚睡早起也是熬夜了因为你可以早睡早起没问题他让你在上班的时间自己拥有自己因为你可以为了身体健康随便你的日常时间是一致的没错吧是在讲的熬夜所谓的熬夜就是晚睡晚起是吧,17.43,5.41,0.310
L3,whisper,clean/heavy/s2_spk1.wav,其实部落分也是一种药晚睡早起也算好业了因为你上一班的时间必定也晚我房子里在就稍微几点打发就就十点你房子是药那它是倒不太业我们的空气倒你下班的时间必定也晚,15.09,5.28,0.350
L3,whisper,clean/heavy/s2_spk2.wav,其实部落分也是一种药晚睡早起也算好业了因为你上班的时间必定也晚我房子里在就稍微几点打发给的指点是一个刷等应的方式药那它是怎么缓解我们的空气导你下班的时间必定也晚,15.09,5.24,0.347
L3,whisper,clean/heavy/s3_spk1.wav,因为你可以为了身体健康不太既然你是晚睡晚睡个人的生活空间也就这么低你是怎么额外的时间来做跟八点睡六点你方是要那它是怎么缓解我们的空虚的,15.75,4.83,0.307
L3,whisper,clean/heavy/s3_spk2.wav,因为你可以为了身体健康既然你是晚睡晚起到个人没有生活空间到晚睡晚起你是怎么提供额外的时间来做跟八点睡六点起你方是要那它是怎么缓解我们的空虚的,15.75,5.29,0.336
L3,whisper,clean/heavy/s4_spk1.wav,哦不太一致我可以给你解释哦你帮是要那他是怎么环节我们的空间的那你个人的生活空间那你可以被的生活空间我都觉得晚睡晚起既然你是晚睡晚起,13.74,4.45,0.324
L3,whisper,clean/heavy/s4_spk2.wav,不太一致我可以给你解释他让你要在那个时间段拥有的自己因为你个人的生活空间因为你可以为了身体健康你刚觉得晚睡晚起既然你是晚睡晚起,13.74,4.02,0.293
L3,whisper,clean/light/s0_spk1.wav,"哦,不太一致,我可以给你解释,哪怕这个自己是一个刷抖音的自己,因为你可以为了身体健康,比方觉得晚睡晚起也是熬夜,我的个人可以支配的,比方是药,那它是怎么缓解我们的空虚的,好,我先聊晚睡晚起,你下班的时间必定也晚,就在讲的熬夜所谓的熬夜就是晚睡晚起,是吧?",23.55,6.39,0.271
L3,whisper,clean/light/s0_spk2.wav,"哦,不太一致,我可以给你解释,哪怕这个自己是一个刷抖音的自己,因为你可以为了身体健康,比方觉得晚睡晚起是熬夜,我个人可以支配的时间段是拥有的,那它是怎么缓解我们的空虚的,好,我先聊晚睡晚起,你下班的时间必定也晚,就在讲的熬夜所谓的熬夜就是晚睡晚起,是吧?",23.55,6.43,0.273
L3,whisper,clean/light/s1_spk1.wav,晚睡早起也算熬夜了我房子里再稍微解释一下因为你可以早睡早起它让你在那个时间段你房子里要那它是怎么还因为你可以为了身体健康没问题没问题先不着急你上班的时间必定也晚我的个人可以支配的日常时间是一致的没错吧其实在讲呢熬夜所谓的熬夜就是晚睡晚起是吧,22.94,7.60,0.331
L3,whisper,clean/light/s1_spk2.wav,晚睡早起也算熬夜了我往这里再稍微解释一下因为你可以早睡早起它让你在那个时间段比方说要那它是怎么还给我的空虚没问题没问题先不着急你上班的时间必定也晚我的个人可以支配的日常时间是一致的没错吧其实在讲的熬夜所谓的熬夜就是晚睡晚起是吧,22.94,6.83,0.298
L3,whisper,clean/light/s2_spk1.wav,其实部落分也是一种药晚睡早起也算熬夜了因为你可以早睡早起我往这里再稍微解释一下哪怕这个自己是一个刷抖音的上班的时间必定也晚我两点睡十点起你方是药那它是怎么缓解我们的空虚的你下班的时间必定也晚,20.72,5.90,0.285
L3,whisper,clean/light/s2_spk2.wav,其实不落分也是一种药晚睡早起也算熬夜了因为你可以早睡早起我方这里再稍微解释一下哪怕这个自己是一个刷抖音的自己上班的时间必定也晚我两点睡十点起你方是药那它是怎么缓解我们的空虚的你下班的时间必定也晚,20.72,5.65,0.273
