tag,engine,file,text,audio_s,proc_s,rtf
base,whisper,canteen_01.wav,这些期我们做的项目是语音识别的鲁邦性研究主要对比Whisper和FoundDSR两个模型在噪声和重叠语音下的表现预处理这边降噪打算用不减法和Deep Bass Tense语音分离用Most Form Pro价值标主要看自封率再加上说话人归属的准确率最后比较不同心脏比价哪一条处理链路效果最好代价最小感谢观看,30.06,9.69,0.322
base,whisper,classroom_01.wav,实验里我们发现噪声一大模型就开始把背景人声也转写出来甚至在静音段冒出幻觉本本所以我们先做了说话人归属测试看声纹特征在轻噪声下还稳不稳定再用热词表辅助大模型做语义纠错像Whisper Most Formed To这种英文名词不加热词表时有八九会不会转错这正是我们要对比的地方感谢观看,30.31,8.27,0.273
base,whisper,discussion_canteen_01.wav,你看这环境背景全是人声正好测蒲间法的效果怎么样我觉得不行这种非平稳噪声得上deep filter net那处理顺序呢先降噪还是先分离我觉得应该先分离不然降噪把壁的声音当噪声消了也有道理但是先分离的话每一路里面还是带着食堂的背景音信噪笔照样上不去那就两种顺序各跑一遍用自措无虑说话行回去去拿这条录音试一试顺便看说话人归属对不对感谢观看,30.06,10.47,0.348
base,whisper,discussion_canteen_heavy_01.wav,咱们用whisper转写前得先做语音分离吧没错混在一起它识别会乱掉说话人归属在重点语一下错误力最高声纹特征会相互污染,16.40,4.00,0.244
base,whisper,discussion_quiet_01.wav,我觉得实验先捧Whisper比较稳放ISR放到第二阶段再上行 那语音分离这块呢MOSFORMER2的环境装好了吗装好了就是短片段分离不太稳定可能要加一点上下文补齐那先用长片段把流程跑通短片段的问题记下来再说我担心的是信噪比太低的时候分离效果会会崩 对 我试过了残留很明显那要不要先降噪再分离先降噪可能把人声细节也消掉到时候声纹都对不上了说话人归属在评论造成有影响但是对试探论人声造成基本污染行 那就按降噪或分离先做一组对焦组直接转写不做处理好 自措物理我来统计热词标你来整理,35.26,14.82,0.420
base,whisper,dorm_clean_01.wav,这学期我们做的项目是语音识别的鲁邦性研究主要对比Whisper和FunASR两个模型在噪声和充电语音下的表现预处理这边将造打算用铺剪法和DeepFlatNet各做一组语音分离用MouseFormer2评价指标主要看字错误率和再加上说话人归属的准确率最后比较不同心造笔下哪一条处理链路效果最好代价最小评价指标主要看音效输出静音为MouseFormer2评价指标主要看音效输出静音为MouseFormer2评价指标主要看音效输出静音为MouseFormer2,29.29,54.19,1.850
base_vad,whisper,canteen_01.wav,这些期我们做的项目是语音识别的鲁邦性研究主要对比Whisper、道声和重叠语音下的表现再加上说话人归属的准确率最后比较不同心脏比价哪一条处理链路效果最好代价最小,30.06,6.76,0.225
base_vad,whisper,classroom_01.wav,实验里我们发现噪声一大模型就开始把背景人声也转写出来甚至在静音段冒出幻觉文本所以我们先做了说话人归属测试看声纹特征在轻噪声下还稳不稳定再用热词表辅助大模型做语义纠错像whisper most formed to这种英文名词不加热词表时有八九会不会讲错这正是我们要对比的地方,30.31,8.14,0.269
base_vad,whisper,discussion_canteen_01.wav,你看这环境背景全是人声正好测蒲间法的效果怎么样我觉得不行这种非平稳噪声得上deep filter net那处理顺序呢先降噪还是先分离我觉得应该先分离不然降噪把壁的声音当噪声消了也有道理但是先分离的话每一路里面还是带着食堂的背景音信噪笔照样上不去那就两种顺序各跑一遍用自措无虑说话行回去就拿这条录音试一试顺便看说话人归属对不对感谢观看,30.06,11.13,0.370
base_vad,whisper,discussion_canteen_heavy_01.wav,咱们用Whisper转写前得先做语音分离吧没错 混在一起它识别会乱掉说话人归属在重点语音下错误力最高声纹特征会相互污染,16.40,4.33,0.264
